stage,corner,temp_c,vcm_out_v,ok,problems,fail_reason,c_in_ff,c_in_lo_ff,cgg_ff,cgs_ff,cgd_ff,cgb_ff,analytic_ff,a_load,g_in_s,gm,id_a,vgs,vds,vdsat,v_src_dc,v_out_dc,runtime_s
summer_max,ff,125.0,1.2,True,,,22.01953353849183,22.032787682039825,8.623859,-6.52142,0.027704279999999998,-2.13014,21.854840852211293,2.525424215545609,7.01304694e-06,0.004372265,0.001,0.9678087,0.7678087,0.1911376,0.2321913,1.0,0.5579018999999334
summer_max,ff,125.0,1.4,True,,,21.520698529373355,21.532435251496725,8.67674,-6.65036,0.03403304,-2.06041,21.402074199850794,2.3430751107889245,6.44123914e-06,0.004212962,0.001,1.006319,0.6063191,0.1969448,0.3936809,1.0,0.5627443000000767
summer_max,ff,125.0,1.6,True,,,20.913842513899322,20.92375104228999,8.761277000000002,-6.7752,0.005253417000000001,-1.99133,20.61975918271447,2.087370616693698,5.73574034e-06,0.004013797,0.001,1.047231,0.4472306,0.2034527,0.5527694,1.0,0.6405965999999808
summer_max,sf,0.0,1.2,True,,,23.05941323017212,23.072253418079324,8.367148,-6.37851,0.02361607,-2.01226,22.713358954332154,2.923862872183859,7.2914028e-06,0.005343779,0.001,0.9603515,0.7603515,0.1362291,0.2396485,1.0,0.5750006999999187
summer_max,sf,0.0,1.4,True,,,22.527446236268453,22.538856754420458,8.4159,-6.4973600000000005,0.032816979999999996,-1.9513599999999998,22.26085148927012,2.736864461483469,6.71725896e-06,0.005186367,0.001,0.9974583,0.5974583,0.141426,0.4025417,1.0,0.5336158000000069
summer_max,sf,0.0,1.6,True,,,21.904181982781417,21.91397599600743,8.482363999999999,-6.611879999999999,0.02161911,-1.8921000000000001,21.568888390295985,2.4946005644854696,6.0490118e-06,0.00499923,0.001,1.035987,0.4359871,0.1470972,0.5640129,1.0,0.5636259000000337
summer_max,sf,27.0,1.2,True,,,22.670712677729508,22.683530278367193,8.309441,-6.33233,0.02437754,-2.00149,22.337553444109616,2.813429570914016,7.18477118e-06,0.005074423,0.001,0.9580942,0.7580942,0.1485518,0.2419058,1.0,0.6429662000000462
summer_max,sf,27.0,1.4,True,,,22.151605912523486,22.162990914955014,8.360307,-6.45341,0.03282499,-1.9397199999999999,21.89000549683045,2.6289938830923827,6.61632848e-06,0.004918212,0.001,0.9955317,0.5955317,0.1539179,0.4044683,1.0,0.5803078999999798
summer_max,sf,27.0,1.6,True,,,21.532038000758767,21.541763411838108,8.431557,-6.57012,0.01799671,-1.87943,21.17974333624783,2.383851768489292,5.93931576e-06,0.004729988,0.001,1.034624,0.4346242,0.159813,0.5653758,1.0,0.5590981000000284
summer_max,sf,125.0,1.2,True,,,21.63892824307465,21.651839834255522,8.141044,-6.20811,0.02695758,-1.95989,21.34219916790967,2.5256723964782535,6.93972764e-06,0.004365631,0.001,0.952849,0.752849,0.1894146,0.247151,1.0,0.5980248999999276
summer_max,sf,125.0,1.4,True,,,21.12320307477549,21.134603738053418,8.192814,-6.32916,0.03231409,-1.89597,20.871631523833848,2.338634151153131,6.36078168e-06,0.004202788,0.001,0.9908646,0.5908646,0.1951361,0.4091354,1.0,0.6301900999999361
summer_max,sf,125.0,1.6,True,,,20.46975871506378,20.47927032375877,8.276445,-6.444470000000001,0.00048630230000000003,-1.8324599999999998,20.03382383186006,2.0676248724802675,5.61834276e-06,0.003994776,0.001,1.03153,0.4315301,0.2016093,0.5684699,1.0,0.581504300000006
summer_max,fs,0.0,1.2,True,,,26.45867277064671,26.483955742934427,11.36624,-8.64742,0.0004921115999999999,-2.71932,26.899312500080182,3.3075967443658936,1.048789022e-05,0.004916618,0.001,1.132779,0.9327793,0.1966845,0.06722067,1.0,0.5497351999999864
summer_max,fs,0.0,1.4,True,,,26.19329221628129,26.217263751837926,11.343879999999999,-8.630690000000001,0.002852848,-2.71604,26.64630456891443,3.224574345350247,1.012262672e-05,0.004878702,0.001,1.169163,0.7691627,0.2007314,0.2308373,1.0,0.6068528999999216
summer_max,fs,0.0,1.6,True,,,25.84537734617518,25.867601869752487,11.34093,-8.63616,-0.00435135,-2.70041,26.262831188578016,3.0950221163099463,9.62394202e-06,0.004816272,0.001,1.203421,0.6034207,0.2048951,0.3965793,1.0,0.6271769999998469
summer_max,fs,27.0,1.2,True,,,25.924714939390896,25.9493300975374,11.31214,-8.60689,0.0004861401,-2.70574,26.351740254344037,3.138990774331223,1.015750638e-05,0.004639256,0.001,1.132009,0.9320092,0.2142798,0.06799082,1.0,0.5604553999999098
summer_max,fs,27.0,1.4,True,,,25.668338225790023,25.691666648052617,11.291519999999998,-8.592699999999999,0.002411411,-2.7012400000000003,26.10359139214826,3.057915740340295,9.80128314e-06,0.00460165,0.001,1.168714,0.7687135,0.2185504,0.2312865,1.0,0.5610750000000735
summer_max,fs,27.0,1.6,True,,,25.327347486976095,25.34892370244201,11.29122,-8.600489999999999,-0.00636932,-2.6843600000000003,25.731592414738543,2.9286825303901733,9.30471574e-06,0.00453946,0.001,1.203421,0.6034213,0.222948,0.3965787,1.0,0.596702999999934
summer_max,fs,125.0,1.2,True,,,24.406465781738394,24.429103242364846,11.13267,-8.47847,0.0005347886,-2.6547300000000003,24.796003030991436,2.668649209596711,9.20719386e-06,0.003881857,0.001,1.128096,0.9280957,0.2752302,0.07190429,1.0,0.627752399999963
summer_max,fs,125.0,1.4,True,,,24.155579531702326,24.17693585869887,11.1167,-8.47077,0.0006081893000000001,-2.64653,24.53808930958269,2.5858651932759518,8.85542652e-06,0.003837478,0.001,1.165838,0.7658377,0.280196,0.2341623,1.0,0.5505688999999165
summer_max,fs,125.0,1.6,True,,,23.8081552407928,23.827633361207326,11.12535,-8.48449,-0.015411900000000001,-2.6254500000000003,24.173966270227705,2.4465321050952773,8.33126408e-06,0.003766582,0.001,1.202159,0.6021586,0.2853691,0.3978414,1.0,0.5402571999998145
slicer_min,tt,0.0,1.2,True,,,6.642244664073719,6.642798217698188,3.286612,-2.49998,0.002700497,-0.7893359999999999,6.636783294641119,1.4104380868751163,7.11328682e-07,0.001957892,0.0005,1.097444,1.297442,0.1807273,0.102556,1.399998,0.5869046000000253
slicer_min,tt,0.0,1.4,True,,,6.608790689740062,6.609328544320944,3.285951,-2.51253,0.006053,-0.779473,6.619289837031948,1.3817660505222158,6.96972834e-07,0.001932223,0.0005,1.132658,1.132657,0.1846875,0.2673424,1.4,0.6421232000000145
slicer_min,tt,0.0,1.6,True,,,6.575290878782794,6.575811990263664,3.287684,-2.52909,0.009323729000000001,-0.7679199999999999,6.600950698759291,1.3502819306814078,6.8154584e-07,0.001904264,0.0005,1.166372,0.9663722,0.1886695,0.4336278,1.4,0.554656199999954
slicer_min,tt,27.0,1.2,True,,,6.558974008439522,6.559517452542006,3.27136,-2.48921,0.002780332,-0.784933,6.553905391480651,1.3413248744113357,6.95643304e-07,0.001854304,0.0005,1.099101,1.299099,0.1973177,0.100899,1.399998,0.5637782999999672
slicer_min,tt,27.0,1.4,True,,,6.527576914393198,6.528105334269053,3.271156,-2.50238,0.006093296,-0.7748700000000001,6.53782940289573,1.3139949023599582,6.81971558e-07,0.00182962,0.0005,1.134676,1.134675,0.2014496,0.2653244,1.4,0.5942019999999957
slicer_min,tt,27.0,1.6,True,,,6.496353681206707,6.496865994602323,3.2734050000000003,-2.51961,0.009301021000000001,-0.7630950000000001,6.521048311420695,1.2840041000515594,6.67241494e-07,0.001802912,0.0005,1.168808,0.9688082,0.2055887,0.4311918,1.4,0.6319856000000073
slicer_min,tt,125.0,1.2,True,,,6.319917325154426,6.320431943113617,3.222729,-2.4576,0.003145424,-0.768273,6.316443448835927,1.1479467348654266,6.51121034e-07,0.00156712,0.0005,1.105236,1.305236,0.2539585,0.09476354,1.399999,0.6211124999999811
slicer_min,tt,125.0,1.4,True,,,6.290955925624784,6.291456779864497,3.223275,-2.47183,0.006342304,-0.757786,6.301020472301281,1.12154358102873,6.38565874e-07,0.001541552,0.0005,1.14182,1.14182,0.2585451,0.2581799,1.4,0.5728762000001097
